126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
< 136679711954592 2912060 136686256525440 1780985082.3487537
> 136679711961552 2912060 136686256525440 1780985082.3487813
> 126794236516480 2911992 126800800096384 1780985082.429707
< 126794236516480 2911992 126800800096384 1780985082.4298186
> 126794238328368 2911992 126800800096384 1780985082.4300277
> 126794235084624 2911992 126800800096384 1780985082.4300375
< 126794235084624 2911992 126800800096384 1780985082.4338393
> 126794235084384 2911992 126800800096384 1780985082.433871
< 126794235084384 2911992 126800800096384 1780985082.4344234
> 126794235138352 2911992 126800800096384 1780985082.4344532
< 126794235138352 2911992 126800800096384 1780985082.50909
< 126794238328368 2911992 126800800096384 1780985082.5091527
> 126794255490784 2911992 126800800096384 1780985082.5091743
< 126794255490784 2911992 126800800096384 1780985082.5875041
< 136679711961552 2912060 136686256525440 1780985082.5922086
> 136679711954688 2912060 136686256525440 1780985082.5922859
< 136679711954688 2912060 136686256525440 1780985082.5923035
> 136679711954640 2912060 136686256525440 1780985082.592471
< 136679711954640 2912060 136686256525440 1780985082.5929854
> 136679711954592 2912060 136686256525440 1780985082.592999
> 126794236516480 2911992 126800800096384 1780985082.6692522
< 126794236516480 2911992 126800800096384 1780985082.669344
< 136679711954592 2912060 136686256525440 1780985082.6733992
> 136679711961552 2912060 136686256525440 1780985082.6734264
> 126794236516480 2911992 126800800096384 1780985082.7534695
< 126794236516480 2911992 126800800096384 1780985082.7536025
> 126794238328368 2911992 126800800096384 1780985082.7538624
> 126794235084624 2911992 126800800096384 1780985082.753879
< 126794235084624 2911992 126800800096384 1780985082.759462
> 126794235084384 2911992 126800800096384 1780985082.759514
< 126794235084384 2911992 126800800096384 1780985082.7600632
> 126794235138352 2911992 126800800096384 1780985082.7600865
< 126794235138352 2911992 126800800096384 1780985082.8545544
< 126794238328368 2911992 126800800096384 1780985082.854669
> 126794255490784 2911992 126800800096384 1780985082.854697
< 126794255490784 2911992 126800800096384 1780985082.9352024
< 136679711961552 2912060 136686256525440 1780985082.937784
> 136679711954688 2912060 136686256525440 1780985082.9378266
< 136679711954688 2912060 136686256525440 1780985082.937842
> 136679711954640 2912060 136686256525440 1780985082.9379501
< 136679711954640 2912060 136686256525440 1780985082.9385943
> 136679711954592 2912060 136686256525440 1780985082.9386423
> 126794236516480 2911992 126800800096384 1780985083.0178905
< 126794236516480 2911992 126800800096384 1780985083.017989
< 136679711954592 2912060 136686256525440 1780985083.0210447
